PROVIDER,ICEE/ARC/NASA
WEBSITE,https://www.astrochemistry.org/ramdb/
VERSION,1.00
LINK,https://www.astrochemistry.org/ramdb/raman/1.00/default/details/Olivine_532_microimaging_homogeneous_293K_none_0_solid_crystals_09082022
REFERENCES,"Mattioda, A.L., Gavilan, L., Ricketts, C.L., Najeeb, P.K., Ricca, A., Boersma, C., ""The NASA Raman Spectroscopic Database: Ramdb version 1.00"", 2024, Icarus, 408, 115769 doi:10.1016/j.icarus.2023.115769"
NOTE,"PLEASE CITE THE APPROPRIATE REFERENCES WHEN USING THESE DATA"
TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/09/08
TIME,16:08:29
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,    0.0000
LASTX, 5000.0000
NPOINTS,    5001
FIRSTY,  1437.78979
MAXY, 33430.40625
MINY,  1436.98572
XYDATA,
0.0000,1437.79
1.0000,1436.99
2.0000,1438.9
3.0000,1441.41
4.0000,1442.96
5.0000,1443.39
6.0000,1443.89
7.0000,1445.25
8.0000,1446.92
9.0000,1447.36
10.0000,1445.65
11.0000,1442.49
12.0000,1439.45
13.0000,1437.68
14.0000,1437.58
15.0000,1439.34
16.0000,1442.79
17.0000,1447.04
18.0000,1451.05
19.0000,1453.98
20.0000,1455.28
21.0000,1454.47
22.0000,1452.05
23.0000,1449.79
24.0000,1449.25
25.0000,1450.25
26.0000,1450.74
27.0000,1449.19
28.0000,1446.43
29.0000,1445.32
30.0000,1447.59
31.0000,1451.81
32.0000,1454.37
33.0000,1453.29
34.0000,1450.07
35.0000,1447.89
36.0000,1448.46
37.0000,1450.98
38.0000,1453.84
39.0000,1456.23
40.0000,1458.34
41.0000,1460.53
42.0000,1462.76
43.0000,1464.41
44.0000,1464.96
45.0000,1464.93
46.0000,1465.99
47.0000,1469.34
48.0000,1473.66
49.0000,1475.32
50.0000,1472.07
51.0000,1466.03
52.0000,1462.35
53.0000,1464.12
54.0000,1469.82
55.0000,1475.72
56.0000,1479.39
57.0000,1480.47
58.0000,1479.19
59.0000,1476.42
60.0000,1474.13
61.0000,1474.45
62.0000,1477.57
63.0000,1481.17
64.0000,1483
65.0000,1483.14
66.0000,1484.14
67.0000,1487.94
68.0000,1493.45
69.0000,1496.97
70.0000,1496.24
71.0000,1493.1
72.0000,1492.12
73.0000,1495.8
74.0000,1502.23
75.0000,1507.5
76.0000,1509.37
77.0000,1508.26
78.0000,1505.28
79.0000,1501.6
80.0000,1498.66
81.0000,1497.85
82.0000,1499.3
83.0000,1501.58
84.0000,1503.37
85.0000,1504.19
86.0000,1504.37
87.0000,1504.33
88.0000,1504.9
89.0000,1507.33
90.0000,1512.12
91.0000,1517.86
92.0000,1522.04
93.0000,1523.12
94.0000,1521.37
95.0000,1517.61
96.0000,1513.21
97.0000,1510.54
98.0000,1512.08
99.0000,1518.15
100.0000,1526.14
101.0000,1533.37
102.0000,1538.4
103.0000,1541.01
104.0000,1541.14
105.0000,1539.42
106.0000,1537.07
107.0000,1535.1
108.0000,1534.04
109.0000,1534.21
110.0000,1535.66
111.0000,1537.77
112.0000,1539.68
113.0000,1540.96
114.0000,1541.93
115.0000,1543.06
